Partner_ID,(All),,Period,ROI, ARPU,,,,,,,,,,
Brand,(All),,0,0.57,€ 117,,,,,,,,,,
Company_name,(All),,0 + 1,0.94,€ 205,,,,,,,,,,
AM,(All),,0 + 1 + 2,1.1,€ 248,,,,,,,,,,
Source,(All),,,,,,,,,,,,,,
Player_country,(All),,,,,,,,,,,,,,
Period,(All),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FTD month,FTD,  Deposits_sum,  Casino_Real_NGR,  SB_Real_NGR,  Partner_income,  Flats and adjustments,  ROI,  %Bonus,  %Cashout,  ADPU,  ARPU,  ECPA,,,
2026-03-01,"5,805","€ 1,174,638","€ 434,597","€ 14,585","€ 789,563","€ 425,206",0.4,35%,29%,€ 202,€ 77,€ 209,,,
2026-02-01,"4,759","€ 1,475,758","€ 796,791","€ 12,498","€ 632,238","€ 433,526",0.8,32%,32%,€ 310,€ 170,€ 224,,,
2026-01-01,"5,206","€ 1,535,085","€ 637,041","€ 16,656","€ 610,889","€ 454,189",0.6,35%,37%,€ 295,€ 126,€ 205,,,
2025-12-01,"5,770","€ 1,863,018","€ 963,450","€ 35,947","€ 701,616","€ 405,049",0.9,32%,33%,€ 323,€ 173,€ 192,,,
2025-11-01,"5,476","€ 1,725,617","€ 797,863","€ 31,287","€ 552,900","€ 381,444",0.9,38%,36%,€ 315,€ 151,€ 171,,,
2025-10-01,"6,124","€ 2,005,384","€ 914,047","€ 12,788","€ 582,607","€ 414,432",0.9,48%,39%,€ 327,€ 151,€ 163,,,
2025-09-01,"6,259","€ 1,905,970","€ 941,068","€ 23,286","€ 572,481","€ 429,177",1.0,45%,36%,€ 305,€ 154,€ 160,,,
2025-08-01,"6,810","€ 2,139,231","€ 951,331","€ 75,581","€ 719,836","€ 478,341",0.9,44%,36%,€ 314,€ 151,€ 176,,,
2025-07-01,"5,932","€ 2,510,188","€ 982,936","€ 334,530","€ 727,504","€ 479,710",1.1,43%,40%,€ 423,€ 222,€ 204,,,
2025-06-01,"5,780","€ 2,074,309","€ 854,979","€ 21,138","€ 616,271","€ 488,249",0.8,37%,34%,€ 359,€ 152,€ 191,,,
2025-05-01,"6,723","€ 2,190,050","€ 1,288,561","€ 33,084","€ 975,109","€ 432,387",0.9,34%,30%,€ 326,€ 197,€ 209,,,
2025-04-01,"5,636","€ 1,905,354","€ 918,667",€ 498,"€ 795,728","€ 316,223",0.8,35%,28%,€ 338,€ 163,€ 197,,,
2025-03-01,"7,043","€ 3,143,634","€ 1,796,872","€ 10,343","€ 1,037,661","€ 327,422",1.3,32%,27%,€ 446,€ 257,€ 194,,,
2025-02-01,"6,695","€ 2,039,662","€ 1,022,344","€ 5,178","€ 1,063,224","€ 265,524",0.8,35%,34%,€ 305,€ 153,€ 198,,,
2025-01-01,"6,707","€ 3,316,354","€ 2,049,278","€ 6,307","€ 1,247,575","€ 311,107",1.3,38%,24%,€ 494,€ 306,€ 232,,,
2024-12-01,"5,547","€ 2,717,720","€ 1,544,054",-€ 519,"€ 1,138,789","€ 248,163",1.1,26%,29%,€ 490,€ 278,€ 250,,,
2024-11-01,"6,524","€ 2,921,138","€ 1,747,184",€ 343,"€ 1,372,111","€ 296,711",1.0,28%,27%,€ 448,€ 268,€ 256,,,
2024-10-01,"5,246","€ 2,493,293","€ 1,674,193",-€ 587,"€ 933,931","€ 401,271",1.3,29%,25%,€ 475,€ 319,€ 255,,,
2024-09-01,"4,330","€ 2,321,712","€ 1,473,010","€ 4,214","€ 904,873","€ 333,275",1.2,28%,25%,€ 536,€ 341,€ 286,,,
2024-08-01,"5,478","€ 4,196,824","€ 2,395,291","€ 12,604","€ 1,383,728","€ 286,673",1.4,26%,26%,€ 766,€ 440,€ 305,,,
2024-07-01,"6,771","€ 3,538,314","€ 2,382,274","€ 5,779","€ 1,459,396","€ 264,924",1.4,26%,24%,€ 523,€ 353,€ 255,,,
2024-06-01,"6,793","€ 3,613,635","€ 2,180,856","-€ 4,639","€ 1,417,725","€ 265,984",1.3,25%,26%,€ 532,€ 320,€ 248,,,
2024-05-01,"6,343","€ 3,284,755","€ 1,870,030","€ 8,803","€ 1,424,633","€ 207,963",1.2,26%,29%,€ 518,€ 296,€ 257,,,
2024-04-01,"4,742","€ 2,595,189","€ 1,597,537","€ 15,135","€ 1,127,580","€ 246,921",1.2,21%,29%,€ 547,€ 340,€ 290,,,
2024-03-01,"4,734","€ 2,275,205","€ 1,047,800","€ 13,421","€ 1,069,527","€ 166,323",0.9,23%,30%,€ 481,€ 224,€ 261,,,
2024-02-01,"3,414","€ 1,570,655","€ 882,453","€ 12,914","€ 662,447","€ 131,813",1.1,25%,29%,€ 460,€ 262,€ 233,,,
2024-01-01,"4,360","€ 2,214,174","€ 1,240,673","€ 15,284","€ 1,001,634","€ 123,162",1.1,24%,27%,€ 508,€ 288,€ 258,,,
2023-12-01,"4,160","€ 2,143,059","€ 1,464,107","€ 5,899","€ 940,402","€ 104,493",1.4,22%,23%,€ 515,€ 353,€ 251,,,
2023-11-01,"4,505","€ 2,366,292","€ 1,395,065","€ 13,817","€ 1,023,633","€ 61,663",1.3,22%,31%,€ 525,€ 313,€ 241,,,
2023-10-01,"4,364","€ 2,203,919","€ 1,212,506","-€ 1,417","€ 1,072,914","€ 37,934",1.1,22%,32%,€ 505,€ 278,€ 255,,,
2023-09-01,"2,339","€ 1,210,493","€ 711,757",€ 0,"€ 590,493","€ 31,764",1.1,20%,35%,€ 518,€ 304,€ 266,,,
2023-08-01,"1,943","€ 815,690","€ 441,235",€ 0,"€ 380,904","€ 24,378",1.1,24%,41%,€ 420,€ 227,€ 209,,,
2023-07-01,"1,648","€ 851,749","€ 478,955",€ 0,"€ 328,718","€ 20,831",1.4,20%,40%,€ 517,€ 291,€ 212,,,
2023-06-01,897,"€ 499,124","€ 266,358",€ 0,"€ 163,010","€ 42,081",1.3,23%,44%,€ 556,€ 297,€ 229,,,
